20032.0 	 C 	 O21 	 125 	 125 	 1735271
20032.0 	 C 	 O139 	 72 	 72 	 1905812
20032.0 	 C 	 O197 	 159 	 159 	 1232961
20032.0 	 C 	 O243 	 206 	 206 	 752900
20032.0 	 C 	 O263 	 21 	 21 	 1460117
20032.0 	 C 	 O294 	 104 	 104 	 970478
20032.0 	 C 	 O297 	 69 	 69 	 1826912
20064.0 	 C 	 O15 	 110 	 110 	 1404888
20064.0 	 C 	 O26 	 145 	 145 	 1919226
20064.0 	 C 	 O63 	 183 	 183 	 1125204
20064.0 	 C 	 O92 	 160 	 160 	 1365271
20064.0 	 C 	 O200 	 190 	 190 	 1162711
20064.0 	 C 	 O227 	 145 	 145 	 1279237
20064.0 	 C 	 O236 	 199 	 199 	 1955622
20064.0 	 C 	 O280 	 215 	 215 	 844953
20064.0 	 C 	 O288 	 216 	 216 	 660063
20096.0 	 C 	 O14 	 187 	 187 	 514660
20096.0 	 C 	 O168 	 19 	 19 	 698049
20096.0 	 C 	 O272 	 117 	 117 	 871983
20128.0 	 C 	 O33 	 57 	 57 	 1376876
20128.0 	 C 	 O76 	 105 	 105 	 1959153
20128.0 	 C 	 O186 	 126 	 126 	 1990346
20128.0 	 C 	 O237 	 191 	 191 	 816955
20128.0 	 C 	 O246 	 179 	 179 	 1415002
20128.0 	 C 	 O289 	 24 	 24 	 1969652
20160.0 	 C 	 O270 	 169 	 169 	 1668213
20160.0 	 C 	 O299 	 36 	 36 	 565410
20192.0 	 C 	 O53 	 24 	 24 	 1962827
20192.0 	 C 	 O60 	 222 	 222 	 1823733
20192.0 	 C 	 O89 	 159 	 159 	 802517
20192.0 	 C 	 O106 	 11 	 11 	 604117
20192.0 	 C 	 O161 	 129 	 129 	 1022153
20192.0 	 C 	 O179 	 92 	 92 	 895966
20192.0 	 C 	 O248 	 170 	 170 	 1575383
20192.0 	 C 	 O286 	 166 	 166 	 1548037
20208.0 	 C 	 O17 	 214 	 214 	 1067223
20224.0 	 C 	 O18 	 158 	 158 	 889718
20224.0 	 C 	 O23 	 45 	 45 	 663559
20224.0 	 C 	 O31 	 18 	 18 	 1864727
20224.0 	 C 	 O150 	 60 	 60 	 815249
20224.0 	 C 	 O215 	 101 	 101 	 770171
20224.0 	 C 	 O221 	 210 	 210 	 1227184
20256.0 	 C 	 O120 	 14 	 14 	 728724
20256.0 	 C 	 O158 	 103 	 103 	 788288
20256.0 	 C 	 O189 	 18 	 18 	 787831
20256.0 	 C 	 O218 	 201 	 201 	 746296
20256.0 	 C 	 O220 	 207 	 207 	 742217
20256.0 	 C 	 O251 	 20 	 20 	 995861
20256.0 	 C 	 O266 	 121 	 121 	 1736827
20256.0 	 C 	 O271 	 214 	 214 	 1546517
20256.0 	 C 	 O273 	 19 	 19 	 1582962
20288.0 	 C 	 O99 	 201 	 201 	 743698
20288.0 	 C 	 O143 	 149 	 149 	 1966160
20288.0 	 C 	 O187 	 69 	 69 	 1400385
20288.0 	 C 	 O235 	 215 	 215 	 658789
