275	599	374	0	84600.0000004365	100000000	2	0.624
275	599	440	0	84600.0000004365	100000000	3	0.734
275	599	552	0	84600.0000004365	100000000	4	0.921
325	599	343	0	84600.0000004365	100000000	2	0.572
325	599	435	0	84600.0000004365	100000000	3	0.726
325	599	539	0	84600.0000004365	100000000	4	0.899
375	599	398	0	84600.0000004365	100000000	2	0.664
375	599	462	0	84600.0000004365	100000000	3	0.771
375	599	479	0	84600.0000004365	100000000	4	0.799
425	599	357	0	84600.0000004365	100000000	2	0.595
425	599	453	0	84600.0000004365	100000000	3	0.756
425 	599 	530 	0.0 	84600.00000043648 	100000000 	4	0.884
475 	599 	312 	0.0 	84600.00000043648 	100000000 	2	0.520
475 	599 	415 	0.0 	84600.00000043648 	100000000 	3	0.692
475 	599 	521 	0.0 	84600.00000043648 	100000000 	4	0.869

